group,General
Divinity.es,Divinity,https://spa-ha-p002.cdn.masmediatv.es/SVoriginOperatorEdge/smil:18_HD.smil/index.m3u8
ext,Kidz,https://fast-channels.atresmedia.com/648c271d2bfab0e4177a0d61/648c271d2bfab0e4177a0d61.m3u8
ext,Logos TV Kids,https://streamer1.streamhost.org/salive/logoskidsH/playlist.m3u8
ext,Planeta Junior TV,https://deaplaneta-planetakidz-1-es.samsung.wurl.tv/playlist.m3u8
ext,Pluto TV Animakids,https://service-stitcher.clusters.pluto.tv/stitch/hls/channel/5f1aabee6f4a2c00076a322c/master.m3u8?advertisingId=&appName=web&appStoreUrl=&appVersion=DNT&app_name=&architecture=&buildVersion=&deviceDNT=0&deviceId=5f1aabee6f4a2c00076a322c&deviceLat=41.1167&deviceLon=1.2500&deviceMake=web&deviceModel=web&deviceType=web&deviceVersion=DNT&includeExtendedEvents=false&marketingRegion=ES&serverSideAds=false&sid=905&terminate=false&userId=
ext,Pluto TV Kids,https://service-stitcher.clusters.pluto.tv/stitch/hls/channel/51c75f7bb6f26ba1cd00002f/master.m3u8?advertisingId=&appName=web&appStoreUrl=&appVersion=DNT&app_name=&architecture=&buildVersion=&deviceDNT=0&deviceId=51c75f7bb6f26ba1cd00002f&deviceLat=&deviceLon=&deviceMake=web&deviceModel=web&deviceType=web&deviceVersion=DNT&includeExtendedEvents=false&marketingRegion=US&serverSideAds=false&sid=989&terminate=false&userId=
ext,Pluto TV Teen Stars,https://service-stitcher.clusters.pluto.tv/v1/stitch/embed/hls/channel/60016a60a8e3520008e0d331/master.m3u8?advertisingId=channel&appName=rokuchannel&appVersion=1.0&bmodel=bm1&content=channel&content_rating=ROKU_ADS_CONTENT_RATING&content_type=livefeed&coppa=false&deviceDNT=1&deviceId=channel&deviceMake=rokuChannel&deviceModel=web&deviceType=rokuChannel&deviceVersion=1.0&embedPartner=rokuChannel&is_lat=1&platform=web&rdid=channel&tags=ROKU_CONTENT_TAGS
ext,Pluto TV Toons Clasico,https://service-stitcher.clusters.pluto.tv/v1/stitch/embed/hls/channel/609e7e423e9173000706a681/master.m3u8?advertisingId=channel&appName=rokuchannel&appVersion=1.0&bmodel=bm1&channel_id=channel&content=channel&content_rating=ROKU_ADS_CONTENT_RATING&content_type=livefeed&coppa=false&deviceDNT=1&deviceId=channel&deviceMake=rokuChannel&deviceModel=web&deviceType=rokuChannel&deviceVersion=1.0&embedPartner=rokuChannel&genre=ROKU_ADS_CONTENT_GENRE&is_lat=1&platform=web&rdid=channel&studio_id=viacom&tags=ROKU_CONTENT_TAGS
ext,Popular TV Cantabria,https://limited12.todostreaming.es/live/ptvcantabria-livestream.m3u8
ext,Popular TV Melilla,http://5940924978228.streamlock.net:1935/8009/8009/playlist.m3u8
ext,Popular TV Murcia,https://cloud.fastchannel.es/mic/manifiest/populartvrm.m3u8
ext,TVG Cativos,https://xabarintv-r2-crtvg.flumotion.com/playlist.m3u8
ext,TVG Infantil,https://infantil-crtvg.flumotion.com/playlist.m3u8
ext,TV Girona,http://ventdelnord.tv:8080/girona/directe.m3u8
ext,TVG Mocinos,https://xabarintv-r3-crtvg.flumotion.com/playlist.m3u8
ext,TVG Momento,https://momentog-crtvg.flumotion.com/playlist.m3u8
ext,TVG Pequerrechos,https://xabarintv-r1-crtvg.flumotion.com/playlist.m3u8
ext,TV Hellin,https://hellin-hls-live.flumotion.com/playlist.m3u8
ext,TV L'Hospitalet,https://liveingesta318.cdnmedia.tv/tvhospitaletlive/smil:tvhospitalet.smil/playlist.m3u8?DVR=
ext,TVM Cordoba,http://teledifusion.tv/cordoba/cordobalive/playlist.m3u8

group,General;News
ext,Canal 1 Mar Menor - Torre Pacheco,https://directo.tuwebtv.es/canal1.m3u8
ext,Canal 2000,http://canal2000.berkano-systems.net/streaming/streams/canal2000.m3u8
